id,self_1_km_pos_voxels,self_1_km_pos_volume
301,9,72
302,0,0
303,0,0
304,3,24
305,0,0
306,0,0
307,0,0
308,10,80
309,0,0
310,4,32
311,0,0
312,1,8
313,10,80
314,6,48
315,3,24
316,11,88
317,7,56
318,4,32
319,0,0
320,8,64
321,0,0
322,0,0
323,0,0
324,0,0
325,0,0
326,11,88
327,6,48
328,0,0
329,0,0
330,0,0
406,0,0
418,2,16
419,8,64
